area,bedrooms,bathrooms,age,latitude,longitude,zipcode,price
1748.4,1,1.0,61.3,41.2167,-121.8998,Z116,431759.88
1430.9,2,2.0,4.7,40.8855,-114.0455,Z101,300041.67
1823.8,4,2.5,55.2,34.0774,-122.6504,Z112,420993.13
2261.5,4,1.5,9.7,34.1471,-124.2832,Z118,641369.39
1382.9,1,2.0,96.3,37.0353,-115.0952,Z118,359978.44
1382.9,7,5.5,35.7,37.4956,-118.4098,Z123,482833.43
2289.6,3,6.0,15.3,35.7407,-120.8102,Z103,609848.45
1883.7,2,2.0,9.9,35.4727,-119.1099,Z100,573634.07
1265.3,6,3.5,8.0,36.598,-121.7624,Z101,379687.46
1771.3,1,2.0,34.3,39.0596,-117.835,Z124,473429.96
1268.3,6,4.5,67.8,33.3017,-118.0271,Z117,293508.93
1267.1,3,4.5,42.2,39.2505,-123.658,Z111,275444.57
1621.0,3,2.5,54.0,41.2993,-114.9378,Z108,471557.89
543.4,5,1.5,45.6,39.7533,-119.6645,Z104,147004.78
637.5,5,2.5,116.1,34.3209,-122.4509,Z115,240359.77
1218.9,2,2.0,42.5,33.3311,-121.2725,Z103,395275.19
993.6,4,1.5,7.1,37.1586,-115.4047,Z119,341995.57
1657.1,3,4.5,47.0,41.5859,-120.4766,Z102,500575.99
1046.0,6,2.5,11.7,40.2811,-118.5994,Z117,236324.94
793.8,1,1.0,120.0,37.846,-114.5493,Z107,284033.16
2232.8,3,3.5,14.2,33.8583,-117.657,Z121,477204.95
1387.1,5,1.5,10.4,39.2814,-117.405,Z124,442102.61
1533.8,3,4.5,8.2,40.2235,-121.89,Z101,510537.76
787.6,2,2.0,32.2,41.3832,-117.4829,Z111,254144.72
1227.8,1,4.0,3.5,38.3151,-120.3651,Z100,379357.75
1555.5,1,5.0,92.1,37.3874,-114.9341,Z123,402112.52
924.5,4,2.5,10.5,38.3822,-123.1398,Z123,321767.03
1687.8,6,1.0,10.5,41.4609,-121.5008,Z120,382714.28
1199.7,2,4.0,1.4,38.4672,-123.807,Z117,305277.09
1354.2,4,1.5,8.5,34.9471,-120.5005,Z109,347419.88
1199.1,1,3.0,16.3,38.5434,-122.9421,Z120,257327.63
2426.1,1,3.0,13.8,40.8576,-115.626,Z107,642707.69
1493.3,8,1.5,9.6,37.8865,-114.787,Z129,468605.87
971.1,2,4.0,1.2,37.2756,-117.471,Z129,311160.11
1911.3,2,3.0,10.7,39.467,-123.415,Z103,518533.3
889.6,3,1.5,45.2,38.7794,-120.9129,Z129,187384.29
1604.4,4,1.5,17.3,33.0385,-114.3728,Z117,373430.41
520.2,2,4.0,10.3,39.3905,-123.0688,Z102,229223.47
835.9,1,1.0,10.9,36.3717,-118.6569,Z102,203692.27
1598.4,2,2.0,24.3,41.4385,-120.7942,Z124,361295.42
1869.2,1,1.0,10.8,41.7226,-114.0088,Z128,490290.78
1585.7,1,1.0,29.9,36.763,-121.5034,Z111,362876.0
1442.2,3,3.5,120.0,41.7036,-123.9984,Z118,340822.21
1349.4,2,4.0,1.3,35.4528,-117.1271,Z116,409662.38
760.7,6,1.5,5.5,38.9851,-121.0692,Z122,299620.85
1140.1,2,2.0,5.9,33.213,-117.5954,Z116,291121.68
1269.7,2,1.0,17.8,33.8774,-123.4012,Z121,298066.2
2028.6,2,2.0,1.3,40.713,-119.0078,Z125,566807.88
1671.8,6,2.5,19.5,40.9909,-120.5601,Z103,565584.44
618.5,1,3.0,79.3,37.5598,-118.8639,Z106,268951.18
1662.0,4,1.5,0.3,35.7278,-115.5385,Z122,465503.95
1307.5,4,1.5,13.6,36.7847,-114.2862,Z106,393373.3
1161.5,2,2.0,42.9,40.7614,-116.5921,Z129,307460.85
1805.8,3,1.0,5.0,34.5044,-116.448,Z121,525731.91
2015.5,1,1.0,2.4,35.3013,-118.9462,Z106,520595.04
1965.6,3,5.5,29.9,39.9617,-123.4773,Z107,514622.85
1080.4,4,2.5,0.3,41.3851,-117.4959,Z118,319364.13
1345.4,2,3.0,48.5,33.3828,-122.9483,Z120,364236.29
1665.6,4,3.5,2.1,40.1358,-121.9206,Z129,532172.34
1987.8,1,3.0,22.3,38.6281,-117.0704,Z125,508101.25
1260.4,2,2.0,40.4,34.6923,-117.6016,Z126,457225.46
1407.2,4,3.5,8.3,39.6803,-121.1996,Z108,302170.7
946.8,4,2.5,3.3,39.4152,-116.3935,Z123,279442.41
901.9,2,2.0,5.8,33.8493,-114.6372,Z121,264234.1
1906.3,3,3.5,57.9,37.2714,-118.7748,Z128,410939.28
2178.1,4,1.0,36.7,39.7038,-117.3843,Z108,500236.21
1464.0,4,1.0,6.6,34.3197,-121.6463,Z113,458657.71
2001.8,3,3.5,37.8,36.8963,-114.3065,Z125,424301.08
1680.8,3,1.5,37.0,33.647,-121.6261,Z128,472585.75
1177.4,3,2.5,120.0,35.4149,-115.1822,Z120,223367.97
1680.7,2,2.0,14.9,34.5705,-114.7574,Z117,357565.8
2269.0,3,4.5,60.0,37.2982,-116.9439,Z108,530273.91
1482.1,4,2.5,17.7,33.8415,-115.9783,Z129,396693.98
2282.3,5,1.5,68.4,36.1399,-119.6925,Z104,575696.66
300.0,5,1.5,2.9,35.114,-114.8448,Z107,207652.14
1911.0,1,1.0,5.8,39.5875,-116.7022,Z123,508432.1
1543.5,5,1.0,56.9,39.1469,-121.0692,Z103,485066.79
1350.5,4,1.0,51.3,33.4018,-124.1331,Z119,387369.06
1545.9,2,1.0,10.9,41.5581,-118.8218,Z113,491803.98
506.2,2,1.0,27.2,39.5745,-115.6732,Z116,130390.83
1390.2,1,2.0,14.5,38.3516,-115.463,Z120,290974.55
1678.6,3,1.5,0.3,37.0382,-115.7313,Z115,400542.89
2238.9,5,2.5,0.8,34.1903,-122.2452,Z108,641374.92
1240.9,1,4.0,1.7,41.6392,-120.0254,Z127,412671.77
1095.8,2,1.0,27.0,32.5747,-118.0548,Z104,321986.63
1249.1,3,3.5,9.8,39.0786,-117.4907,Z104,366689.92
1957.7,3,2.5,4.7,37.3207,-120.9869,Z129,486926.04
1664.4,3,4.5,85.0,41.0745,-117.2273,Z105,433162.08
1235.1,3,4.5,3.9,36.1166,-118.2956,Z105,329290.73
1756.6,5,4.5,33.6,37.4271,-118.5489,Z107,605150.01
1548.5,4,2.5,67.4,39.5522,-117.5382,Z115,399099.37
1984.3,3,3.5,5.4,32.9519,-118.1646,Z113,488020.51
1149.0,5,2.5,7.3,33.0175,-122.7478,Z100,327026.47
1336.2,4,1.0,25.6,34.5109,-115.3186,Z115,430151.59
1303.9,1,2.0,21.3,33.891,-121.974,Z114,337119.24
768.2,3,2.5,22.1,32.5612,-116.6829,Z104,249981.69
1648.1,3,4.5,24.3,38.4184,-122.6472,Z108,346285.63
1630.5,1,3.0,89.8,40.0614,-117.5599,Z102,430193.59
1502.6,5,1.0,1.7,41.5926,-115.0953,Z126,435707.28
1382.7,3,1.5,42.9,36.6886,-124.398,Z106,371758.56
792.3,2,2.0,7.9,35.1573,-114.2134,Z106,333204.47
1289.7,3,3.5,14.0,40.7071,-124.1884,Z115,306531.33
1328.6,3,3.5,2.8,40.5218,-124.3806,Z127,352613.38
1098.9,3,2.5,17.7,38.436,-115.4956,Z127,289812.14
1419.4,1,1.0,48.9,35.0949,-117.0586,Z125,314638.24
1702.0,5,1.5,3.1,41.1309,-123.389,Z102,425311.21
2443.1,1,2.0,9.7,34.1948,-114.6571,Z114,560668.52
1587.3,4,3.5,14.0,32.9146,-117.4447,Z106,430271.77
1628.8,2,1.0,3.3,40.0679,-123.334,Z102,442080.03
1462.8,3,1.5,43.1,37.8548,-115.4642,Z115,349679.88
540.6,4,1.0,46.4,34.8414,-119.4505,Z105,241975.75
1486.7,3,2.5,54.2,38.8735,-121.5796,Z107,455258.91
1530.1,8,5.5,26.3,39.7838,-115.8371,Z115,473112.75
2731.6,2,1.0,21.2,40.5232,-116.7463,Z123,713487.06
1403.8,2,2.0,9.1,35.1802,-117.958,Z105,350630.57
1650.8,1,1.0,31.9,32.7431,-115.0656,Z115,376051.11
1482.6,1,1.0,17.6,37.3454,-115.4566,Z101,351696.39
915.7,5,1.5,106.0,40.6327,-122.1187,Z100,327864.08
2071.4,2,2.0,103.4,34.4743,-115.2738,Z118,424348.58
1876.0,1,2.0,70.7,36.5007,-120.5726,Z113,499066.37
1895.5,2,1.0,13.4,34.936,-119.9664,Z118,463963.09
1045.3,5,1.0,13.8,32.6269,-114.2905,Z122,322072.15
2201.4,4,1.0,57.5,41.036,-116.5213,Z103,530387.94
799.1,4,4.5,39.2,33.783,-121.1244,Z101,311040.51
1793.4,4,3.5,36.6,39.7843,-117.6968,Z101,491168.56
2595.2,4,3.5,9.8,35.7927,-118.8371,Z111,647469.46
1004.7,1,2.0,53.8,35.138,-123.2757,Z122,264315.73
1216.9,3,1.5,26.0,41.4398,-115.1786,Z123,348159.45
1549.8,1,3.0,17.8,38.7434,-115.8702,Z110,359689.2
1248.3,4,2.5,60.2,39.0258,-116.334,Z120,317458.61
724.7,4,2.5,15.0,39.7167,-118.6289,Z117,271128.05
1534.3,3,3.5,31.8,35.7389,-122.1812,Z118,469407.35
968.8,3,2.5,18.8,37.8548,-115.2191,Z116,241578.68
1736.8,3,1.0,26.9,35.0671,-120.7939,Z125,564613.5
1040.3,4,3.5,1.2,40.4281,-124.2888,Z103,404177.94
2275.0,2,3.0,18.5,38.1934,-114.1914,Z122,496429.44
1108.4,3,2.5,24.4,34.8124,-115.4579,Z125,301711.31
1339.0,4,4.5,20.4,41.0477,-117.9619,Z111,314102.69
1906.8,5,1.0,56.4,38.018,-124.3697,Z124,486497.69
884.6,2,2.0,11.2,37.2028,-122.109,Z102,355873.66
1613.7,2,2.0,64.6,32.8276,-119.7535,Z115,410868.95
2153.6,1,2.0,15.5,41.1431,-117.9051,Z103,608372.17
696.3,2,3.0,35.6,41.5466,-117.0644,Z127,325659.6
1592.3,4,1.0,2.7,37.8447,-116.2231,Z105,479686.06
1629.9,2,1.0,6.7,36.7039,-118.6656,Z100,512595.65
1890.9,2,1.0,43.0,35.9159,-117.6101,Z104,430538.35
881.5,4,2.5,0.4,35.0465,-115.982,Z109,326355.28
839.8,3,1.5,103.8,37.958,-116.9417,Z113,196320.14
1761.0,4,1.5,6.3,33.7169,-114.4745,Z104,458465.64
1648.5,1,2.0,69.5,41.2321,-115.3162,Z109,424747.26
1625.2,3,5.5,21.8,34.1716,-122.7217,Z124,538781.13
1673.2,6,4.5,24.9,39.5824,-114.5521,Z108,438946.04
1160.0,3,3.5,2.6,35.4154,-122.3562,Z112,287083.94
1616.1,1,1.0,13.6,34.6477,-114.0917,Z116,311631.36
1646.5,3,1.5,5.1,37.7998,-117.136,Z118,509609.28
1142.8,6,1.5,22.4,39.7687,-117.9109,Z128,370064.16
2432.9,4,3.5,24.0,39.404,-121.0946,Z119,616141.5
1736.9,4,1.5,37.1,34.7207,-123.1024,Z127,490648.39
904.3,1,1.0,63.2,35.6398,-123.1752,Z100,219998.03
1828.3,5,5.5,18.9,40.7539,-115.401,Z108,430487.16
1012.7,1,1.0,8.0,39.3708,-119.9594,Z117,313671.75
1893.5,5,2.5,12.2,39.2706,-118.6216,Z104,488253.23
2079.3,2,1.0,56.3,35.0546,-114.7157,Z113,514083.0
1089.7,1,1.0,4.7,40.024,-121.8188,Z128,303560.98
1981.7,3,1.0,29.6,35.905,-116.4787,Z118,484703.23
1706.4,6,1.0,0.4,36.3132,-119.5601,Z114,401769.1
1911.0,3,2.5,8.5,35.2318,-122.2661,Z103,479583.36
2448.4,2,2.0,26.9,33.6532,-115.5438,Z103,652909.04
1377.3,2,2.0,18.3,36.4937,-117.3605,Z126,417906.91
1123.1,2,2.0,20.4,32.6609,-123.5033,Z117,254573.96
1055.2,3,1.5,32.4,36.8311,-118.8115,Z126,366793.76
1092.1,7,3.5,8.0,39.3876,-115.5565,Z117,303189.61
1461.4,1,2.0,9.9,41.6271,-123.7972,Z107,446972.92
1670.6,3,4.5,34.6,33.2468,-120.1291,Z101,389399.84
1638.3,3,3.5,23.2,35.1723,-116.0452,Z115,437116.98
1913.6,4,1.5,0.4,37.1942,-115.4872,Z113,478893.81
1506.5,3,1.5,33.3,34.1187,-116.3587,Z125,454627.28
2226.8,3,2.5,29.0,33.6099,-121.29,Z122,580419.84
1367.7,3,3.5,2.5,36.797,-119.1772,Z100,450601.48
2860.1,3,3.5,41.3,38.0169,-116.7166,Z116,648243.23
1812.8,7,2.5,22.2,40.292,-122.8978,Z109,508520.28
1071.4,2,1.0,6.9,41.9791,-118.2525,Z115,301190.26
964.6,2,1.0,24.6,39.8556,-116.9361,Z102,268436.5
1741.2,3,3.5,27.2,34.6027,-115.5751,Z118,514227.37
1388.3,3,4.5,75.8,39.6058,-123.3274,Z110,399576.82
1857.0,4,2.5,40.7,37.603,-121.0384,Z124,494565.32
1736.6,2,4.0,10.8,36.7827,-118.8126,Z129,455412.8
1463.6,3,3.5,3.8,41.3894,-117.1389,Z114,422931.0
1076.6,3,1.5,57.6,39.1699,-116.8346,Z117,263223.33
742.6,3,2.5,56.1,38.9761,-121.8408,Z119,335615.16
1276.7,2,3.0,5.8,32.6117,-124.3543,Z118,410010.93
1928.2,3,2.5,1.9,40.7182,-117.2149,Z106,555440.77
1607.0,1,2.0,37.3,40.0364,-114.9542,Z105,366841.19
877.1,5,2.5,38.5,35.3399,-116.1261,Z108,221012.33
1586.6,4,1.5,5.8,35.2751,-117.9641,Z112,413223.93
1692.7,3,3.5,33.1,33.008,-114.2355,Z107,433890.33
1058.1,4,4.5,9.8,32.9831,-119.9523,Z117,234821.13
1576.9,3,1.5,9.1,38.8516,-118.987,Z102,420115.09
1529.1,3,1.5,11.8,34.2693,-124.371,Z100,367445.78
928.5,4,1.5,22.0,41.2737,-114.5675,Z123,347656.88
1678.9,3,2.5,49.0,40.5028,-118.3749,Z128,393316.72
1780.4,4,3.5,20.7,35.8144,-120.3966,Z117,376749.56
2041.5,2,2.0,10.6,36.1107,-124.0321,Z103,509272.31
2026.9,5,4.5,64.6,35.6091,-120.6946,Z117,519077.33
811.2,4,2.5,1.7,33.3778,-124.4622,Z115,254141.45
1031.1,2,1.0,47.9,32.7986,-121.0945,Z117,277386.1
1757.5,3,4.5,46.0,36.7953,-114.5097,Z102,507318.69
1756.9,4,1.5,8.8,41.4589,-122.8802,Z113,481946.49
1757.5,4,2.5,6.6,41.2139,-118.7732,Z109,466857.42
3426.4,4,5.5,62.3,40.1935,-122.5405,Z128,831348.5
1785.4,5,1.0,24.6,38.4717,-116.2745,Z104,347389.22
2067.8,2,2.0,1.4,40.6341,-118.5948,Z107,539583.0
1977.0,3,2.5,66.4,37.3932,-122.3765,Z125,534483.14
1825.7,3,1.5,12.9,34.2115,-115.4045,Z117,401830.96
1342.4,3,4.5,12.6,38.9996,-116.2678,Z129,390505.29
1879.5,2,6.0,30.9,41.2461,-114.5113,Z128,421334.39
1113.6,3,5.5,32.5,32.6862,-124.4934,Z104,343735.69
1381.6,2,2.0,13.1,34.8887,-119.7003,Z126,389111.26
1257.3,6,4.5,4.6,35.0217,-114.0017,Z111,349533.76
1540.9,4,3.5,24.1,33.4409,-115.9825,Z128,420772.97
2657.3,2,2.0,29.4,34.6422,-115.7715,Z103,660982.84
566.4,1,2.0,59.0,36.1478,-117.9781,Z111,127189.15
1843.1,4,1.5,19.9,41.4284,-117.0146,Z112,457890.03
693.6,4,2.5,31.1,40.6725,-116.0441,Z113,208684.03
1264.0,2,5.0,1.7,41.4871,-123.5311,Z113,359666.94
